API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,Prod1Year,ProdAll,SpudMonth,SpudQuarter,SpudYear,PermitToSpudDays,DrillingDurationDays,CompletionToProductionDays,TotalProppant,TotalWater,ProppantIntensity,LateralDistance,LateralLengthCategory
33105034810000,2014-03-24,2014-06-06,2015-01-15,2014-12-01,XTO ENERGY INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.516577957,-102.938572033,48.49633,-102.93151,7143.0,346.7994,394.3689,24543,65310,6,2,2014,74,223,-45,2477188.1141999997,2816977.0527,0.04855094498110038,0.021444161740832517,medium
33105035380000,2014-05-23,2014-06-11,2014-12-29,2014-12-01,LIBERTY RESOURCES MANAGEMENT COMPANY LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.503628074,-102.977091917,48.53119,-102.97815,9947.0,422.7651,815.3825,128838,200140,6,2,2014,19,201,-28,4205244.4497,8110609.7275,0.04250176937770182,0.02758222805475662,long
33105035810000,2014-06-19,2014-09-01,2015-05-13,2015-03-01,CONTINENTAL RESOURCES INCORPORATED,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.603374446,-103.032381145,48.57598,-103.03142,9521.0,333.2274,256.3768,55485,80612,9,3,2014,74,254,-73,3172658.0754,2440963.5128,0.03499920176452053,0.02741130189096631,long
33105036550100,2014-08-04,2014-10-27,2015-02-26,2015-02-01,WHITING OIL & GAS CORPORATION,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.112096716,-103.294476343,48.13924,-103.29261,4542.0,330.936,231.4858,73508,107681,10,4,2014,84,122,-25,1503111.312,1051408.5036,0.07286129458388374,0.02720737220861614,medium
33105037690100,2014-09-22,2014-12-23,2015-05-08,2015-03-01,CONTINENTAL RESOURCES INCORPORATED,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.225952797,-103.318166627,48.19845,-103.3135,9477.0,610.1913,517.7006,107856,179799,12,4,2014,92,136,-68,5782782.9501,4906248.5862,0.06438654637543526,0.027895900243227235,long
35017246780000,2014-03-19,2014-03-21,2014-05-19,2014-06-01,MARATHON OIL COMPANY,WOODFORD,ANADARKO BASIN,OKLAHOMA,CANADIAN,35.550467239,-97.837857758,35.53706,-97.83706,4596.0,1294.575,1924.085,19631,32732,3,1,2014,2,59,13,5949866.7,8843094.66,0.2816742819843342,0.013430952141593256,medium
35017246960000,2014-09-03,2014-09-28,2014-12-10,2014-12-01,CIMAREX ENERGY COMPANY,WOODFORD,ANADARKO BASIN,OKLAHOMA,CANADIAN,35.383976239,-97.991357605,35.40532,-97.99148,7440.0,2053.605,1768.781,81780,159987,9,3,2014,25,73,-9,15278821.2,13159730.639999999,0.27602217741935486,0.021344111931896455,medium
35073250300000,2014-11-26,2015-02-14,2015-08-25,2015-08-01,CHAPARRAL ENERGY LIMITED LIABILITY CORP,OSWEGO,ANADARKO BASIN,OKLAHOMA,KINGFISHER,36.044719522,-97.893226682,36.03002,-97.89306,4530.0,108.3326,382.2158,51670,91761,2,1,2015,80,192,-24,490746.678,1731437.574,0.02391448123620309,0.014700466996583183,medium
42105419830000,2014-02-27,2014-03-03,2014-06-04,2014-06-01,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.932566379,-101.224790352,30.91022,-101.22338,7330.0,1201.486,1170.349,21372,30474,3,1,2014,4,93,-3,8806892.38,8578658.17,0.16391350613915417,0.02239084069827677,medium
42105420060100,2014-04-10,2014-06-07,2014-08-04,2014-08-01,EP ENERGY E&P COMPANY LP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,31.03622039,-101.298202948,31.0584,-101.29816,7727.0,1322.021,928.1738,56150,68082,6,2,2014,58,58,-3,10215256.266999999,7171998.9526,0.17109110909796815,0.02217965158163527,long
