PermitToSpudDays,DrillingDurationDays,CompletionToProductionDays,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,TotalProppant,TotalWater,ProppantIntensity,LateralDistance,SpudMonth,SpudQuarter,SpudYear,operatorNameIHS,LateralLengthCategory,BasinName,formation
-0.979810316984249,1.1568983624917561,0.0365044088254684,0.6488221441763955,0.7221903381556828,-0.020693944858330805,1.5791377709746575,0.542633712423604,-0.12807767339498974,1.6359591912380467,5,2,2014,BURLINGTON RESOURCES O&G CO LP,long,DENVER BASIN,NIOBRARA
-0.3184437212552359,0.07884286475952171,0.16166238194136007,-1.0789037708657274,0.715106153895411,0.06408413172594285,-0.0897729178450252,-0.4540463038978312,1.1583384965613996,-1.2834208584221884,10,4,2013,SRC ENERGY INCORPORATED,short,DENVER BASIN,NIOBRARA
-0.8337943153297916,3.3612804996457277,-5.783341341063494,-1.0508865938650445,0.7349596436812923,-0.083569765778869,-0.04994917444024709,-0.5373745441920134,1.135034112113482,-1.1615263847440744,9,3,2013,BONANZA CREEK ENERGY OPERATING CO LLC,short,DENVER BASIN,NIOBRARA
2.885319138574919,-0.35559741044600557,0.05736407101145034,-0.04334580557124917,0.67365971226561,0.5137805710557009,0.8600400678391523,0.7289055188355356,0.14850232411076453,-0.1061855067550635,12,4,2014,NOBLE ENERGY INCORPORATED,medium,DENVER BASIN,NIOBRARA
-0.9282752575767935,-0.6130434994566883,0.2242413684993059,-1.4323512345666525,0.23993236428784132,0.0054104208522458555,-0.6615353777886909,-0.713365031771393,1.2366017451047018,-1.2701287974315927,1,1,2014,GREAT WESTERN OPERATING COMPANY LLC,short,DENVER BASIN,NIOBRARA
-0.00923336481050248,-0.09815132143532274,0.07822373319743228,-1.05591531794209,0.7595597585236306,0.22532261132674983,-0.03886692057259463,-0.3286955962704287,1.1687264417115053,-0.767292989581433,6,2,2014,NOBLE ENERGY INCORPORATED,short,DENVER BASIN,NIOBRARA
-0.49022725261342115,-0.4199589326986763,0.3702590038011795,-0.9628839225167449,-0.4768834096336499,0.4543157420711915,-0.7984027007393959,-0.09528917707745314,-0.19417424668516534,-1.3452307896490296,4,2,2014,KERR-MCGEE OIL & GAS ONSHORE LP,medium,DENVER BASIN,NIOBRARA
1.9405097161049,-0.03378979918265203,-0.005214915546495486,-0.7987320008588967,1.3463323529191222,0.5413806264619598,0.6574739143792518,0.1094273061385768,1.3471258813168079,-1.0087497446476745,3,1,2015,CRESTONE PEAK RESOURCES OPERATING LLC,medium,DENVER BASIN,NIOBRARA
-0.14666018989705068,0.23974667039119849,0.3702590038011795,-0.8666197758990134,0.2910431693850963,1.2257891725563081,-0.1949553225290806,0.5777942060547581,0.46388455535511,-1.3565587619794703,11,4,2014,KERR-MCGEE OIL & GAS ONSHORE LP,medium,DENVER BASIN,NIOBRARA
1.313499826647524,-0.7900376856515329,0.4328379903591253,-1.0789037708657274,0.566416416295195,-0.45452705047817343,-0.18475319602455237,-0.8039790008783921,0.9998291468045443,-0.7431868631644816,6,2,2015,EXTRACTION OIL & GAS LLC,short,DENVER BASIN,CODELL
-0.584708194860423,1.1890791236180913,0.557995963475017,-1.0627400149037949,0.04232910896549688,0.8798951633100285,-0.5086179621971594,0.11280003266563604,0.423112236943431,-0.671823070917995,2,1,2015,NOBLE ENERGY INCORPORATED,short,DENVER BASIN,NIOBRARA
-0.5159947823171489,-1.6106470943730844,0.2242413684993059,-1.043343507749476,0.4988245851500099,0.008295228324696684,-0.19704026255755003,-0.4695370608555772,0.8774118047895958,-0.7637051868466739,3,1,2015,BONANZA CREEK ENERGY OPERATING CO LLC,short,DENVER BASIN,NIOBRARA
0.059480047732771615,-0.7256761633988621,-0.08865356429042326,-1.2243775745231202,-0.06955366631600836,-0.2835152583998857,-0.6823127593252825,-0.7602045653572435,0.4905334644915415,-1.0308395683688847,10,4,2013,OXY USA INC,short,PERMIAN BASIN,BONE SPRING
-0.5675298417246045,-0.37168779100917326,-0.7770224164278273,-0.9395362750161758,2.2375222302586666,2.3575507266489675,1.1065049006672747,1.3269034781595757,2.4394451644264565,-1.229823089711627,6,2,2015,EOG RESOURCES INCORPORATED,medium,PERMIAN BASIN,WOLFCAMP UPPER
0.3085661682021402,-0.9670318718463773,-0.08865356429042326,1.0259764499548216,-0.9846662872078877,-0.9382894453744568,-0.6708969799344475,-0.7113430713343776,-1.00506261048087,0.5671005614188992,1,1,2014,PETRO-HUNT LLC,long,WILLISTON BASIN,THREE FORKS
0.8754518216841515,0.06275248419635403,-0.42240815926613434,1.0870395280332334,-0.8046966171773402,0.375536536654796,-0.37604702288240205,1.4616002332000269,-0.9305324997095491,0.8238264681037527,5,2,2015,CONTINENTAL RESOURCES INCORPORATED,long,WILLISTON BASIN,BAKKEN
3.34054549667411,-0.7578569245251975,0.5997152878469808,0.79070400206447,0.6988592949882071,-0.09593809297305064,1.6824229923555323,0.5154135997095053,-0.18659938244841315,2.1725908877668103,8,3,2014,OASIS PETROLEUM NORTH AMERICA LLC,long,WILLISTON BASIN,BAKKEN
-0.6705999605395156,1.5752482571341158,0.14080271975537811,1.155286497650282,-0.7706162741996703,-0.8446088156415371,-0.3004290080427725,-0.5286641332399553,-0.9218473602858962,0.895130314758573,9,3,2013,BURLINGTON RESOURCES O&G CO LP,long,WILLISTON BASIN,BAKKEN
